,iso2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,iso3
0,US,12.12460225253211,12.198287419145858,12.768361999158763,13.358028209272211,13.476034012924547,13.265446754225792,13.272313246166977,13.128092932112686,12.731259649231193,12.236693989869991,11.723413269090534,11.4775780409385,USA
1,AU,10.269171790632448,10.116903948091755,10.284318379685931,10.480185182952555,10.284523346721118,10.042553600659126,10.056852209242422,10.364481970436772,10.383812730853736,9.981235321158053,9.851615143125416,9.748411444632369,AUS
2,CA,9.939337205429826,10.075043029177243,10.519105530586836,11.219278974018415,11.816726919301892,11.992130382230338,12.10043987059093,11.769031727387196,11.13878459010409,10.295529640312152,9.604474863741963,9.339964139769688,CAN
3,ZA,9.775597361230211,9.428511581663834,9.57851889529833,10.219392583931649,10.209316470468945,9.524347869595513,9.595942850988095,9.801842348773928,9.81093357092552,9.235032984566555,9.09750756370184,9.325987795502144,ZAF
4,RU,9.76249985923515,9.68775397939693,9.88786617163317,10.834469833153273,11.709593615471105,11.861961305111677,11.818415529696905,11.52592066046504,10.180096038519288,9.729074639810214,9.132486932771318,8.797548488481558,RUS
5,NZ,9.732046586838385,9.576579433583511,9.348884181424243,9.765890764521682,9.638284261844774,8.99230873254815,9.114379980830272,9.17678358844734,8.916774356365426,8.740176729929082,8.780633799494984,8.969796305981806,NZL
6,MX,9.726810038127258,9.856815144337697,9.970585296068622,10.181838727246433,10.160143246382786,9.702288939972485,9.900131928722766,9.839908570893257,9.426660697942268,9.195531256322475,9.146228426508939,9.080687163749312,MEX
7,GB,8.874447967219979,9.147400572202308,9.906981441790384,10.842713255692779,10.897979297204449,10.97946219904839,10.962457705931794,10.73400250738888,9.881241943588808,9.046762057999363,8.726156679156613,8.213652703029998,GBR
8,DE,8.79346036105272,9.034318927730707,9.502860721068213,10.179337399481271,10.66874607044333,10.57510461454571,10.534386919616546,10.176182882679585,9.558388209214396,9.02905827475689,8.51699317141357,8.151909872940905,DEU
9,AR,8.625688787569537,8.445697189711167,8.469262657658687,8.613775289262481,8.59711281459211,7.700747794511798,7.977968093128549,7.954021087278037,8.182559264068665,7.591357046698551,7.733245646529795,7.8434564043761155,ARG
