,iso2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,iso3
82,TL,97,56,52,48,64,33,25,90,38,58,4,20,TLS
83,IR,96,56,83,121,104,70,53,37,17,25,23,30,IRN
84,JM,93,66,40,9,9,21,40,36,15,7,6,8,JAM
85,NP,88,10,9,16,108,38,11,11,30,9,1,3,NPL
86,RE,87,80,41,25,43,122,113,67,38,58,42,16,REU
87,AE,86,203,190,237,101,70,30,17,20,124,126,52,ARE
88,BD,84,83,147,38,65,44,34,64,73,56,36,3,BGD
89,NF,82,76,85,36,14,50,38,18,34,23,39,46,NFK
90,IE,82,78,278,483,472,473,761,550,225,602,79,25,IRL
91,GF,80,95,89,90,55,78,84,74,28,41,58,63,GUF
92,PK,71,72,114,41,39,36,43,29,47,27,42,39,PAK
93,AL,67,26,23,20,151,178,42,52,44,34,43,37,ALB
94,RS,66,91,187,239,298,336,288,264,92,63,49,23,SRB
95,NI,63,65,74,274,329,128,204,130,78,118,42,57,NIC
96,PY,61,32,23,74,26,10,33,11,9,6,45,30,PRY
97,DZ,57,252,424,333,162,193,34,13,30,8,12,27,DZA
98,TR,50,154,241,292,453,469,248,307,164,210,102,47,TUR
99,GA,50,60,33,20,22,8,9,41,58,23,25,4,GAB
100,SX,45,22,4,18,9,9,13,17,1,3,3,5,SXM
101,MH,39,28,40,18,39,1,65,59,44,18,7,55,MHL
102,GP,38,24,7,5,1,3,5,32,8,10,10,4,GLP
103,BS,37,81,151,418,55,118,88,42,10,14,20,13,BHS
104,BT,36,43,30,36,55,18,19,19,27,30,20,74,BTN
105,MA,36,333,110,117,72,92,72,51,45,36,33,33,MAR
106,KH,34,46,31,25,50,62,70,60,60,32,30,32,KHM
107,MT,31,19,21,86,19,23,36,114,2,7,8,3,MLT
108,RO,28,32,55,164,301,264,672,433,43,43,18,9,ROU
109,KY,26,41,25,50,54,33,50,217,40,62,18,28,CYM
110,SI,25,47,103,637,851,1098,1206,594,333,79,25,6,SVN
111,SN,25,7,13,2,10,8,10,1,2,11,1,2,SEN
112,FJ,25,95,55,102,34,12,7,5,3,6,4,3,FJI
113,AW,24,10,17,9,20,11,10,29,28,12,97,2,ABW
114,EE,24,25,67,113,286,277,155,189,59,38,1,4,EST
115,MU,22,67,73,8,28,1,26,22,50,19,41,3,MUS
116,MD,21,6,7,13,29,52,43,68,2,3,36,5,MDA
117,MO,20,21,41,101,94,56,17,24,17,31,26,10,MAC
118,CD,20,73,25,86,39,39,35,23,10,37,34,7,COD
119,LR,18,20,22,74,13,1,1,17,6,26,27,19,LBR
120,MV,17,97,15,25,57,158,13,27,5,8,6,4,MDV
121,LB,17,35,29,44,33,59,10,6,4,4,15,4,LBN
122,IQ,16,55,55,60,54,11,11,9,14,1,7,7,IRQ
123,NG,15,5,29,7,10,18,11,11,21,37,3,2,NGA
